===== TRADE LOG DETAIL =====

Action  Symbol   Date              Price     Quantity        Value (VND)          PnL (VND)      PnL%%
BUY     GVR      2023-10-02        19.58         6769        132,537,015                  0      0.00%
SELL    GVR      2023-10-17        19.38         6769        131,183,218         -1,353,805     -1.02%
BUY     GVR      2023-11-02        17.75         7391        131,190,250                  0      0.00%
SELL    GVR      2023-11-17        19.00         7391        140,429,000          9,238,750      7.04%
BUY     GVR      2023-12-20        19.29         7280        140,431,203                  0      0.00%
SELL    GVR      2024-01-08        21.00         7280        152,880,000         12,448,793      8.86%
BUY     GVR      2024-01-17        20.71         7382        152,881,218                  0      0.00%
SELL    GVR      2024-02-07        24.76         7382        182,778,328         29,897,110     19.56%
BUY     GVR      2024-03-12        30.87         5921        182,781,281                  0      0.00%
SELL    GVR      2024-03-18        31.80         5921        188,287,796          5,506,520      3.01%
BUY     GVR      2024-03-26        33.11         5686        188,263,468                  0      0.00%
SELL    GVR      2024-05-16        31.80         5686        180,814,796         -7,448,668     -3.96%
BUY     GVR      2024-06-20        33.21         5445        180,828,437                  0      0.00%
SELL    GVR      2024-07-11        36.09         5445        196,510,046         15,681,605      8.67%
BUY     GVR      2024-07-24        31.94         6152        196,494,890                  0      0.00%
SELL    GVR      2024-08-15        31.89         6152        196,187,281           -307,607     -0.16%
BUY     GVR      2024-09-12        33.75         5813        196,188,750                  0      0.00%
SELL    GVR      2024-09-23        34.73         5813        201,885,484          5,696,737      2.90%
BUY     GVR      2024-10-09        34.82         5798        201,886,359                  0      0.00%
SELL    GVR      2024-11-13        31.80         5798        184,376,390        -17,509,962     -8.67%
BUY     GVR      2024-11-20        30.37         6071        184,376,281                  0      0.00%
SELL    GVR      2024-12-03        30.46         6071        184,922,656            546,379      0.30%
BUY     GVR      2025-01-02        30.07         6150        184,930,500                  0      0.00%
SELL    GVR      2025-01-22        27.61         6150        169,801,500        -15,128,994     -8.18%
BUY     GVR      2025-03-18        32.93         5156        169,787,078                  0      0.00%
SELL    GVR      2025-03-24        33.67         5156        173,602,515          3,815,429      2.25%
BUY     GVR      2025-04-10        25.24         6879        173,625,953                  0      0.00%
SELL    GVR      2025-05-14        27.61         6879        189,929,187         16,303,235      9.39%
BUY     GVR      2025-06-12        28.15         6747        189,928,046                  0      0.00%
SELL    GVR      2025-06-27        29.92         6747        201,870,234         11,942,193      6.29%
BUY     GVR      2025-07-10        29.68         6801        201,853,687                  0      0.00%
SELL    GVR      2025-08-14        31.65         6801        215,251,640         13,397,965      6.64%
BUY     GVR      2025-08-28        28.79         7477        215,262,843                  0      0.00%
SELL    GVR      2025-09-17        28.49         7477        213,019,734         -2,243,108     -1.04%
BUY     GVR      2025-09-24        28.20         7554        213,022,812                  0      0.00%
SELL    GVR      2025-10-14        27.46         7554        207,432,828         -5,589,972     -2.62%
BUY     GVR      2025-10-22        26.13         7938        207,419,937                  0      0.00%
SELL    GVR      2025-11-03        27.95         7938        221,867,109         14,447,173      6.97%
BUY     GVR      2025-11-27        27.90         7953        221,888,703                  0      0.00%
BUY     HDB      2023-01-06         8.38        11933         99,998,539                  0      0.00%
SELL    HDB      2023-01-12         8.45        11933        100,833,851            835,306      0.84%
BUY     HDB      2023-02-16         9.42        10704        100,831,679                  0      0.00%
SELL    HDB      2023-02-22         9.42        10704        100,831,679                  0      0.00%
BUY     HDB      2023-03-01         9.01        11191        100,830,914                  0      0.00%
SELL    HDB      2023-03-13         9.39        11191        105,083,492          4,252,581      4.22%
BUY     HDB      2023-03-17         9.42        11155        105,080,101                  0      0.00%
SELL    HDB      2023-04-07         9.90        11155        110,434,492          5,354,395      5.10%
BUY     HDB      2023-04-26         9.62        11480        110,437,601                  0      0.00%
SELL    HDB      2023-05-18         9.88        11480        113,422,398          2,984,802      2.70%
BUY     HDB      2023-06-14        10.01        11331        113,423,312                  0      0.00%
SELL    HDB      2023-07-25        10.62        11331        120,335,218          6,911,906      6.09%
BUY     HDB      2023-08-16        10.58        11374        120,336,921                  0      0.00%
SELL    HDB      2023-09-11        10.55        11374        119,995,703           -341,216     -0.28%
BUY     HDB      2023-10-06        10.55        11374        119,995,703                  0      0.00%
SELL    HDB      2023-10-16        10.74        11374        122,156,757          2,161,055      1.80%
BUY     HDB      2023-11-01        10.65        11470        122,155,492                  0      0.00%
SELL    HDB      2023-11-07        11.11        11470        127,431,695          5,276,200      4.32%
BUY     HDB      2023-12-01        11.23        11347        127,426,804                  0      0.00%
SELL    HDB      2023-12-20        11.60        11347        131,625,203          4,198,399      3.29%
BUY     HDB      2023-12-22        11.70        11250        131,625,000                  0      0.00%
SELL    HDB      2024-01-08        12.68        11250        142,650,000         11,025,006      8.38%
BUY     HDB      2024-01-26        13.15        10848        142,651,203                  0      0.00%
